mean_episode_length,total_timesteps,frames_per_second,elapsed_time,iteration,mean_episode_reward,intervention_type,stage,value_loss,clip_fraction,policy_std,policy_gradient_loss,explained_variance,clip_range,entropy_loss,learning_rate,policy_loss,num_updates,approx_kl_divergence,stage,intervention_type
438.32,5263360,366,11,1,0.49865153,mass,5,,,,,,,,,,,,5,mass
431.76,5267456,216,37,2,0.6284516,mass,5,0.0326373446475675,0.5914316813151042,5.528825759887695,-0.0965769983590386,0.7469542026519775,0.2,-28.113850811123847,0.00025,-0.6756242513656616,1950.0,0.082494706,5,mass
435.63,5271552,193,63,3,0.7675575,mass,5,0.0258689250011229,0.5387980143229166,5.620073318481445,-0.0993745443335986,0.6314093172550201,0.2,-28.25552981396516,0.00025,-0.6684728860855103,1965.0,0.058393195,5,mass
439.83,5275648,182,89,4,0.7974511,mass,5,0.0134516120121891,0.4988240559895833,5.667693614959717,-0.0975349410793569,0.7802349627017975,0.2,-28.34112029671669,0.00025,-0.676223635673523,1980.0,0.05383791,5,mass
436.11,5279744,175,116,5,0.86398226,mass,5,0.037755126185948,0.57108154296875,5.828342914581299,-0.0867438764274993,0.5899515151977539,0.2,-28.542707282304765,0.00025,-0.6622981429100037,1995.0,0.0762938,5,mass
429.05,5283840,171,143,6,0.8875602,mass,5,0.030329573242731,0.5779886881510417,5.918531894683838,-0.0967729040318469,0.6457836329936981,0.2,-28.7319016456604,0.00025,-0.6715318560600281,2010.0,0.08195561,5,mass
424.68,5287936,169,169,7,0.95064676,mass,5,0.0239069485057067,0.5561614990234375,6.02766227722168,-0.0914161683501637,0.5967148542404175,0.2,-28.88425866464774,0.00025,-0.6755443811416626,2025.0,0.06691925,5,mass
416.11,5292032,167,195,8,0.9514083,mass,5,0.0255522710115959,0.568890380859375,6.176823139190674,-0.0951126281945713,0.7628922164440155,0.2,-29.07796570658684,0.00025,-0.6850784420967102,2040.0,0.06413041,5,mass
420.99,5296128,166,222,9,0.9281573,mass,5,0.0260856737319651,0.55557861328125,6.261593341827393,-0.0952835862713982,0.6466209590435028,0.2,-29.23257674674193,0.00025,-0.697145938873291,2055.0,0.071987405,5,mass
423.51,5300224,164,248,10,1.0219676,mass,5,0.0236230303198681,0.5739329020182292,6.286329746246338,-0.1030834590138207,0.7542414218187332,0.2,-29.3047406544288,0.00025,-0.6904988884925842,2070.0,0.11762233,5,mass
418.84,5304320,163,274,11,0.9832357,mass,5,0.0381639385838449,0.51136474609375,6.362193584442139,-0.0909215446925372,0.6490382850170135,0.2,-29.39023261765639,0.00025,-0.6707313656806946,2085.0,0.055734254,5,mass
435.98,5308416,163,301,12,1.0943539,mass,5,0.0404853278407244,0.5525105794270834,6.505356788635254,-0.0904582930670585,0.6185779869556427,0.2,-29.53913726011912,0.00025,-0.6783704161643982,2100.0,0.064681545,5,mass
448.52,5312512,162,327,13,1.1886759,mass,5,0.0169454898884093,0.5330027262369792,6.617307186126709,-0.0975266204462968,0.6840639710426331,0.2,-29.70947112341722,0.00025,-0.7016867995262146,2115.0,0.06055947,5,mass
